# vehicle id = 2
# random fix = 0.68322347
# vehicle type = OBSTACLE
# model label = 
# physical vehicle length (in m) = 1.00
# position x is defined by vehicle front (on the given road segment)
# origin roadsegment id= 3, exit roadsegment id= -1 (not set=-1)
# Route [name=main, length=5000.0, roadSegments=[RoadSegment [nodeId=2, userId=2, roadName=R2, roadLength=2000.0, laneCount=1, Node[type=origin, nodeId=7], Node[type=destination, nodeId=9]], RoadSegment [nodeId=3, userId=3, roadName=R3, roadLength=500.0, laneCount=2, Node[type=origin, nodeId=9], Node[type=destination, nodeId=10]], RoadSegment [nodeId=4, userId=4, roadName=R4, roadLength=2500.0, laneCount=1, Node[type=origin, nodeId=10], Node[type=destination, nodeId=11]]]]
#     t[s],    roadId,      lane,      x[m], totalX[m],    v[m/s],  a[m/s^2],aModel[m/s^2], gap[m],   dv[m/s],distToTL[m],fuelFlow[ml/s],frontVehID,slope[rad]
      0.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      0.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      0.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      0.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      0.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      1.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      1.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      1.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      1.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      1.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      2.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      2.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      2.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      2.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      2.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      3.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      3.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      3.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      3.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      3.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      4.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      4.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      4.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      4.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      4.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      5.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      5.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      5.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      5.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      5.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      6.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      6.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      6.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      6.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      6.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      7.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      7.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      7.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      7.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      7.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      8.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      8.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      8.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      8.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      8.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
      9.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
