#v(km/h),   acc(m/s^2),  forceMech(N), powMech(kW), fuelFlow(l/h), consump(liters/100km), Gear
# veh mass = 1000.0
# number of gears = 7
# v[m/s], accFreeWheeling[m/s^2], fuelFlow[l/h], gear, c100[l/100km]
0.200, -0.14716759,  0.80846017,  1,  112.28613516
0.400, -0.14722034,  0.81643949,  1,  56.69718674
0.600, -0.14730827,  0.82397261,  1,  38.14688026
0.800, -0.14743136,  0.83109173,  1,  28.85735173
1.000, -0.14758963,  1.01278593,  1,  28.13294246
1.200, -0.14778307,  1.01659315,  1,  23.53224887
1.400, -0.14801168,  1.04387958,  1,  20.71189645
1.600, -0.14827546,  1.16895560,  1,  20.29436810
1.800, -0.14857441,  1.29653516,  1,  20.00825868
2.000, -0.14890853,  1.42585349,  1,  19.80352070
2.200, -0.14927782,  1.55647778,  1,  19.65249721
2.400, -0.14968228,  1.09446701,  2,  12.66744221
2.600, -0.15012191,  1.17069995,  2,  12.50747815
2.800, -0.15059671,  1.24797259,  2,  12.38068050
3.000, -0.15110669,  1.32609186,  2,  12.27862837
3.200, -0.15165183,  1.40491719,  2,  12.19546169
3.400, -0.15223215,  1.07851835,  3,  8.81142447
3.600, -0.15284763,  1.12984295,  3,  8.71792399
3.800, -0.15349829,  1.18177973,  3,  8.63874070
4.000, -0.15418411,  1.23425421,  3,  8.57120977
4.200, -0.15490511,  1.28720566,  3,  8.51326497
4.400, -0.15566128,  1.34058470,  3,  8.46328725
4.600, -0.15645261,  1.10732256,  4,  6.68673042
4.800, -0.15727912,  1.14584288,  4,  6.63103520
5.000, -0.15814080,  1.18474368,  4,  6.58190933
5.200, -0.15903765,  1.22399680,  4,  6.53844445
5.400, -0.15996967,  1.26357811,  4,  6.49988742
5.600, -0.16093686,  1.30346700,  4,  6.46561013
5.800, -0.16193922,  1.34364591,  4,  6.43508580
6.000, -0.16297675,  1.14770733,  5,  5.31345985
6.200, -0.16404945,  1.17832470,  5,  5.27923251
6.400, -0.16515733,  1.20921720,  5,  5.24833854
6.600, -0.16630037,  1.24037510,  5,  5.22043392
6.800, -0.16747858,  1.27178998,  5,  5.19522052
7.000, -0.16869197,  1.30345464,  5,  5.17243905
7.200, -0.16994052,  1.33536298,  5,  5.15186333
7.400, -0.17122425,  1.20962505,  6,  4.54063455
7.600, -0.17254314,  1.23648697,  6,  4.51932371
7.800, -0.17389721,  1.26359487,  6,  4.49998172
8.000, -0.17528645,  1.29094657,  6,  4.48245336
8.200, -0.17671086,  1.31854049,  6,  4.46660057
8.400, -0.17817043,  1.34637561,  6,  4.45230028
8.600, -0.17966518,  1.37445142,  6,  4.43944258
8.800, -0.18119510,  1.27947002,  7,  4.03873111
9.000, -0.18276019,  1.30447281,  7,  4.02615064
9.200, -0.18436045,  1.32973323,  7,  4.01489502
