#     t[s], instConsumptionRate[l/s], instConsumptionEMA[l/s], cumulatedConsumption[l], numberVehicles 
      0.00,   0.000000,   0.000000,     0.0000,        1 
      1.00,   0.000000,   0.000000,     0.0000,        1 
      2.00,   0.000000,   0.000000,     0.0000,        1 
      3.00,   0.000000,   0.000000,     0.0000,        1 
      4.00,   0.000000,   0.000000,     0.0000,        1 
      5.00,   0.000000,   0.000000,     0.0000,        1 
      6.00,   0.000000,   0.000000,     0.0000,        1 
      7.00,   0.000000,   0.000000,     0.0000,        1 
      8.00,   0.000000,   0.000000,     0.0000,        1 
      9.00,   0.000000,   0.000000,     0.0000,        1 
     10.00,   0.000000,   0.000000,     0.0000,        1 
     11.00,   0.000000,   0.000000,     0.0000,        1 
     12.00,   0.000000,   0.000000,     0.0000,        1 
     13.00,   0.000000,   0.000000,     0.0000,        1 
     14.00,   0.000000,   0.000000,     0.0000,        1 
     15.00,   0.000000,   0.000000,     0.0000,        1 
     16.00,   0.000000,   0.000000,     0.0000,        1 
     17.00,   0.000000,   0.000000,     0.0000,        1 
     18.00,   0.000000,   0.000000,     0.0000,        1 
     19.00,   0.000000,   0.000000,     0.0000,        1 
     20.00,   0.000000,   0.000000,     0.0000,        1 
     21.00,   0.000000,   0.000000,     0.0000,        1 
     22.00,   0.000000,   0.000000,     0.0000,        1 
     23.00,   0.000000,   0.000000,     0.0000,        1 
     24.00,   0.000000,   0.000000,     0.0000,        1 
     25.00,   0.000000,   0.000000,     0.0000,        1 
     26.00,   0.000000,   0.000000,     0.0000,        1 
     27.00,   0.000000,   0.000000,     0.0000,        1 
     28.00,   0.000000,   0.000000,     0.0000,        1 
     29.00,   0.000000,   0.000000,     0.0000,        1 
     30.00,   0.000000,   0.000000,     0.0000,        1 
     31.00,   0.000000,   0.000000,     0.0000,        1 
     32.00,   0.000000,   0.000000,     0.0000,        1 
     33.00,   0.000000,   0.000000,     0.0000,        1 
     34.00,   0.000000,   0.000000,     0.0000,        1 
     35.00,   0.000000,   0.000000,     0.0000,        1 
     36.00,   0.000000,   0.000000,     0.0000,        1 
     37.00,   0.000000,   0.000000,     0.0000,        1 
     38.00,   0.000000,   0.000000,     0.0000,        1 
     39.00,   0.000000,   0.000000,     0.0000,        1 
     40.00,   0.000828,   0.000040,     0.0008,        2 
     41.00,   0.001652,   0.000095,     0.0020,        3 
     42.00,   0.001663,   0.000171,     0.0036,        3 
     43.00,   0.001668,   0.000244,     0.0053,        3 
     44.00,   0.001670,   0.000314,     0.0070,        3 
     45.00,   0.001670,   0.000380,     0.0086,        3 
     46.00,   0.001669,   0.000443,     0.0103,        3 
