#     t[s],       x[m],     v[m/s],   a[m/s^2]
     40.00,        0.0,     0.0000,     0.0000
     40.00,      100.0,     0.0000,     0.0000
     40.00,      200.0,     0.0000,     0.0000
     40.00,      300.0,     0.0000,     0.0000
     40.00,      400.0,     0.0000,     0.0000
     40.00,      500.0,     0.0000,     0.0000
     40.00,      600.0,     0.0000,     0.0000
     40.00,      700.0,     0.0000,     0.0000
     40.00,      800.0,     0.0000,     0.0000
     40.00,      900.0,     0.0000,     0.0000
     40.00,     1000.0,     0.0000,     0.0000
     40.00,     1100.0,     0.0000,     0.0000
     40.00,     1200.0,     0.0000,     0.0000
     40.00,     1300.0,     0.0000,     0.0000
     40.00,     1400.0,     0.0000,     0.0000
     40.00,     1500.0,     0.0000,     0.0000
     40.00,     1600.0,     0.0000,     0.0000
     40.00,     1700.0,     0.0000,     0.0000
     40.00,     1800.0,     0.0000,     0.0000
     40.00,     1900.0,     0.0000,     0.0000
     40.00,     2000.0,     0.0000,     0.0000
     40.00,     2100.0,     0.0000,     0.0000
     40.00,     2200.0,     0.0000,     0.0000
     40.00,     2300.0,     0.0000,     0.0000
     40.00,     2400.0,     0.0000,     0.0000
     40.00,     2500.0,     0.0000,     0.0000
     40.00,     2600.0,     0.0000,     0.0000
     40.00,     2700.0,     0.0000,     0.0000
     40.00,     2800.0,     0.0000,     0.0000
     40.00,     2900.0,     0.0000,     0.0000
     40.00,     3000.0,     0.0000,     0.0000
     40.00,     3100.0,     0.0000,     0.0000
     40.00,     3200.0,     0.0000,     0.0000
     40.00,     3300.0,     0.0000,     0.0000
     40.00,     3400.0,     0.0000,     0.0000
     40.00,     3500.0,     0.0000,     0.0000
     40.00,     3600.0,     0.0000,     0.0000
     40.00,     3700.0,     0.0000,     0.0000
     40.00,     3800.0,     0.0000,     0.0000
     40.00,     3900.0,     0.0000,     0.0000
     40.00,     4000.0,     0.0000,     0.0000
     40.00,     4100.0,     0.0000,     0.0000
     40.00,     4200.0,     0.0000,     0.0000
     40.00,     4300.0,     0.0000,     0.0000
     40.00,     4400.0,     0.0000,     0.0000
     40.00,     4500.0,     0.0000,     0.0000
     40.00,     4600.0,     0.0000,     0.0000
     40.00,     4700.0,     0.0000,     0.0000
     40.00,     4800.0,     0.0000,     0.0000
     40.00,     4900.0,     0.0000,     0.0000
     40.00,     5000.0,     0.0000,     0.0000

