# Route [name=onramp, length=4011.2, roadSegments=[RoadSegment [nodeId=5, userId=5, roadName=R5, roadLength=1011.2, laneCount=1, Node[type=origin, nodeId=12], Node[type=destination, nodeId=9]], RoadSegment [nodeId=3, userId=3, roadName=R3, roadLength=500.0, laneCount=2, Node[type=origin, nodeId=9], Node[type=destination, nodeId=10]], RoadSegment [nodeId=4, userId=4, roadName=R4, roadLength=2500.0, laneCount=1, Node[type=origin, nodeId=10], Node[type=destination, nodeId=11]]]]
#     t[s], lane,       x[m],     v[m/s],   a[m/s^2],     gap[m],    dv[m/s], label,           id,  roadId, originId, infoComment, absTime, xWithOffset[m]
     40.00,    1,       22.0,    19.0037,   -0.00098,       0.00,   0.000000,  ACC1,            7,        5,        6, 1970-01-01T00:00:40Z,    22.0277, 
     41.00,    1,       41.0,    19.0028,   -0.00075,       0.00,   0.000000,  ACC1,            7,        5,        6, 1970-01-01T00:00:41Z,    41.0309, 
     41.00,    1,       11.3,    18.8497,    0.00332,      23.75,  -0.153176,  ACC1,           11,        5,        6, 1970-01-01T00:00:41Z,    11.2838, 
     42.00,    1,       60.0,    19.0022,   -0.00058,       0.00,   0.000000,  ACC1,            7,        5,        6, 1970-01-01T00:00:42Z,    60.0334, 
     42.00,    1,       30.1,    18.8582,    0.01100,      23.90,  -0.143982,  ACC1,           11,        5,        6, 1970-01-01T00:00:42Z,    30.1372, 
     43.00,    1,       79.0,    19.0017,   -0.00045,       0.00,   0.000000,  ACC1,            7,        5,        6, 1970-01-01T00:00:43Z,    79.0353, 
     43.00,    1,       49.0,    18.8711,    0.01377,      24.03,  -0.130583,  ACC1,           11,        5,        6, 1970-01-01T00:00:43Z,    49.0017, 
     44.00,    1,       98.0,    19.0013,   -0.00035,       0.00,   0.000000,  ACC1,            7,        5,        6, 1970-01-01T00:00:44Z,    98.0368, 
     44.00,    1,       67.9,    18.8854,    0.01444,      24.16,  -0.115913,  ACC1,           11,        5,        6, 1970-01-01T00:00:44Z,    67.8799, 
     45.00,    1,      117.0,    19.0010,   -0.00027,       0.00,   0.000000,  ACC1,            7,        5,        6, 1970-01-01T00:00:45Z,   117.0380, 
     45.00,    1,       86.8,    18.8997,    0.01407,      24.27,  -0.101342,  ACC1,           11,        5,        6, 1970-01-01T00:00:45Z,    86.7725, 
     46.00,    1,      136.0,    19.0008,   -0.00021,       0.00,   0.000000,  ACC1,            7,        5,        6, 1970-01-01T00:00:46Z,   136.0388, 
     46.00,    1,      105.7,    18.9130,    0.01264,      24.36,  -0.087745,  ACC1,           11,        5,        6, 1970-01-01T00:00:46Z,   105.6789, 
