#     t[s], instTraveltime[s], instTravelTimeEMA[s], meanSpeed[km/h], cumulatedTravelTime[h], numberVehicles 
      0.00,     263.16,     263.16,      68.40,     0.0000,        0 
      0.20,     263.16,     263.16,      68.40,     0.0000,        0 
      0.40,     263.16,     263.16,      68.40,     0.0000,        0 
      0.60,     263.16,     263.16,      68.40,     0.0000,        0 
      0.80,     263.16,     263.16,      68.40,     0.0000,        0 
      1.00,     263.16,     263.16,      68.40,     0.0000,        0 
      1.20,     263.16,     263.16,      68.40,     0.0000,        0 
      1.40,     263.16,     263.16,      68.40,     0.0000,        0 
      1.60,     263.16,     263.16,      68.40,     0.0000,        0 
      1.80,     263.16,     263.16,      68.40,     0.0000,        0 
      2.00,     263.16,     263.16,      68.40,     0.0000,        0 
      2.20,     263.16,     263.16,      68.40,     0.0000,        0 
      2.40,     263.16,     263.16,      68.40,     0.0000,        0 
      2.60,     263.16,     263.16,      68.40,     0.0000,        0 
      2.80,     263.16,     263.16,      68.40,     0.0000,        0 
      3.00,     263.16,     263.16,      68.40,     0.0000,        0 
      3.20,     263.16,     263.16,      68.40,     0.0000,        0 
      3.40,     263.16,     263.16,      68.40,     0.0000,        0 
      3.60,     263.16,     263.16,      68.40,     0.0000,        0 
      3.80,     263.16,     263.16,      68.40,     0.0000,        0 
      4.00,     263.16,     263.16,      68.40,     0.0000,        0 
      4.20,     263.16,     263.16,      68.40,     0.0000,        0 
      4.40,     263.16,     263.16,      68.40,     0.0000,        0 
      4.60,     263.16,     263.16,      68.40,     0.0000,        0 
      4.80,     263.16,     263.16,      68.40,     0.0000,        0 
      5.00,     263.16,     263.16,      68.40,     0.0000,        0 
      5.20,     263.16,     263.16,      68.40,     0.0000,        0 
      5.40,     263.16,     263.16,      68.40,     0.0000,        0 
      5.60,     263.16,     263.16,      68.40,     0.0000,        0 
      5.80,     263.16,     263.16,      68.40,     0.0000,        0 
      6.00,     263.16,     263.16,      68.40,     0.0000,        0 
      6.20,     263.16,     263.16,      68.40,     0.0000,        0 
      6.40,     263.16,     263.16,      68.40,     0.0000,        0 
      6.60,     263.16,     263.16,      68.40,     0.0000,        0 
      6.80,     263.16,     263.16,      68.40,     0.0000,        0 
      7.00,     263.16,     263.16,      68.40,     0.0000,        0 
      7.20,     263.16,     263.16,      68.40,     0.0000,        0 
      7.40,     263.16,     263.16,      68.40,     0.0000,        0 
      7.60,     263.16,     263.16,      68.40,     0.0000,        0 
      7.80,     263.16,     263.16,      68.40,     0.0000,        0 
      8.00,     263.16,     263.16,      68.40,     0.0000,        0 
      8.20,     263.16,     263.16,      68.40,     0.0000,        0 
      8.40,     263.16,     263.16,      68.40,     0.0000,        0 
      8.60,     263.16,     263.16,      68.40,     0.0000,        0 
      8.80,     263.16,     263.16,      68.40,     0.0000,        0 
      9.00,     263.16,     263.16,      68.40,     0.0000,        0 
      9.20,     263.16,     263.16,      68.40,     0.0000,        0 
      9.40,     263.16,     263.16,      68.40,     0.0000,        0 
      9.60,     263.16,     263.16,      68.40,     0.0000,        0 
      9.80,     263.16,     263.16,      68.40,     0.0000,        0 
     10.00,     263.16,     263.16,      68.40,     0.0000,        0 
     10.20,     263.16,     263.16,      68.40,     0.0000,        0 
     10.40,     263.16,     263.16,      68.40,     0.0000,        0 
     10.60,     263.16,     263.16,      68.40,     0.0000,        0 
     10.80,     263.16,     263.16,      68.40,     0.0000,        0 
     11.00,     263.16,     263.16,      68.40,     0.0000,        0 
     11.20,     263.16,     263.16,      68.40,     0.0000,        0 
     11.40,     263.16,     263.16,      68.40,     0.0000,        0 
     11.60,     263.16,     263.16,      68.40,     0.0000,        0 
     11.80,     263.16,     263.16,      68.40,     0.0000,        0 
     12.00,     263.16,     263.16,      68.40,     0.0000,        0 
     12.20,     263.16,     263.16,      68.40,     0.0000,        0 
     12.40,     263.16,     263.16,      68.40,     0.0000,        0 
     12.60,     263.16,     263.16,      68.40,     0.0000,        0 
     12.80,     263.16,     263.16,      68.40,     0.0000,        0 
     13.00,     263.16,     263.16,      68.40,     0.0000,        0 
     13.20,     263.16,     263.16,      68.40,     0.0000,        0 
     13.40,     263.16,     263.16,      68.40,     0.0000,        0 
     13.60,     263.16,     263.16,      68.40,     0.0000,        0 
     13.80,     263.16,     263.16,      68.40,     0.0000,        0 
     14.00,     263.16,     263.16,      68.40,     0.0000,        0 
     14.20,     263.16,     263.16,      68.40,     0.0000,        0 
     14.40,     263.16,     263.16,      68.40,     0.0000,        0 
     14.60,     263.16,     263.16,      68.40,     0.0000,        0 
     14.80,     263.16,     263.16,      68.40,     0.0000,        0 
     15.00,     263.16,     263.16,      68.40,     0.0000,        0 
     15.20,     263.16,     263.16,      68.40,     0.0000,        0 
     15.40,     263.16,     263.16,      68.40,     0.0000,        0 
     15.60,     263.16,     263.16,      68.40,     0.0000,        0 
     15.80,     263.16,     263.16,      68.40,     0.0000,        0 
     16.00,     263.16,     263.16,      68.40,     0.0000,        0 
     16.20,     263.16,     263.16,      68.40,     0.0000,        0 
     16.40,     263.16,     263.16,      68.40,     0.0000,        0 
     16.60,     263.16,     263.16,      68.40,     0.0000,        0 
     16.80,     263.16,     263.16,      68.40,     0.0000,        0 
     17.00,     263.16,     263.16,      68.40,     0.0000,        0 
     17.20,     263.16,     263.16,      68.40,     0.0000,        0 
     17.40,     263.16,     263.16,      68.40,     0.0000,        0 
     17.60,     263.16,     263.16,      68.40,     0.0000,        0 
     17.80,     263.16,     263.16,      68.40,     0.0000,        0 
     18.00,     263.16,     263.16,      68.40,     0.0000,        0 
     18.20,     263.16,     263.16,      68.40,     0.0000,        0 
     18.40,     263.16,     263.16,      68.40,     0.0000,        0 
     18.60,     263.16,     263.16,      68.40,     0.0000,        0 
     18.80,     263.16,     263.16,      68.40,     0.0000,        0 
     19.00,     263.16,     263.16,      68.40,     0.0000,        0 
     19.20,     263.16,     263.16,      68.40,     0.0000,        0 
     19.40,     263.16,     263.16,      68.40,     0.0000,        0 
     19.60,     263.16,     263.16,      68.40,     0.0000,        0 
     19.80,     263.16,     263.16,      68.40,     0.0000,        0 
     20.00,     263.16,     263.16,      68.40,     0.0000,        0 
     20.20,     263.16,     263.16,      68.40,     0.0000,        0 
     20.40,     263.16,     263.16,      68.40,     0.0000,        0 
     20.60,     263.16,     263.16,      68.40,     0.0000,        0 
     20.80,     263.16,     263.16,      68.40,     0.0000,        0 
     21.00,     263.16,     263.16,      68.40,     0.0000,        0 
     21.20,     263.16,     263.16,      68.40,     0.0000,        0 
     21.40,     263.16,     263.16,      68.40,     0.0000,        0 
     21.60,     263.16,     263.16,      68.40,     0.0000,        0 
     21.80,     263.16,     263.16,      68.40,     0.0000,        0 
     22.00,     263.16,     263.16,      68.40,     0.0000,        0 
     22.20,     263.16,     263.16,      68.40,     0.0000,        0 
     22.40,     263.16,     263.16,      68.40,     0.0000,        0 
     22.60,     263.16,     263.16,      68.40,     0.0000,        0 
     22.80,     263.16,     263.16,      68.40,     0.0000,        0 
     23.00,     263.16,     263.16,      68.40,     0.0000,        0 
     23.20,     263.16,     263.16,      68.40,     0.0000,        0 
     23.40,     263.16,     263.16,      68.40,     0.0000,        0 
     23.60,     263.16,     263.16,      68.40,     0.0000,        0 
     23.80,     263.16,     263.16,      68.40,     0.0000,        0 
     24.00,     263.16,     263.16,      68.40,     0.0000,        0 
     24.20,     263.16,     263.16,      68.40,     0.0000,        0 
     24.40,     263.16,     263.16,      68.40,     0.0000,        0 
     24.60,     263.16,     263.16,      68.40,     0.0000,        0 
     24.80,     263.16,     263.16,      68.40,     0.0000,        0 
     25.00,     263.16,     263.16,      68.40,     0.0000,        0 
     25.20,     263.16,     263.16,      68.40,     0.0000,        0 
     25.40,     263.16,     263.16,      68.40,     0.0000,        0 
     25.60,     263.16,     263.16,      68.40,     0.0000,        0 
     25.80,     263.16,     263.16,      68.40,     0.0000,        0 
     26.00,     263.16,     263.16,      68.40,     0.0000,        0 
     26.20,     263.16,     263.16,      68.40,     0.0000,        0 
     26.40,     263.16,     263.16,      68.40,     0.0000,        0 
     26.60,     263.16,     263.16,      68.40,     0.0000,        0 
     26.80,     263.16,     263.16,      68.40,     0.0000,        0 
     27.00,     263.16,     263.16,      68.40,     0.0000,        0 
     27.20,     263.16,     263.16,      68.40,     0.0000,        0 
     27.40,     263.16,     263.16,      68.40,     0.0000,        0 
     27.60,     263.16,     263.16,      68.40,     0.0000,        0 
     27.80,     263.16,     263.16,      68.40,     0.0000,        0 
     28.00,     263.16,     263.16,      68.40,     0.0000,        0 
     28.20,     263.16,     263.16,      68.40,     0.0000,        0 
     28.40,     263.16,     263.16,      68.40,     0.0000,        0 
     28.60,     263.16,     263.16,      68.40,     0.0000,        0 
     28.80,     263.16,     263.16,      68.40,     0.0000,        0 
     29.00,     263.16,     263.16,      68.40,     0.0000,        0 
     29.20,     263.16,     263.16,      68.40,     0.0000,        0 
     29.40,     263.16,     263.16,      68.40,     0.0000,        0 
     29.60,     263.16,     263.16,      68.40,     0.0000,        0 
     29.80,     263.16,     263.16,      68.40,     0.0000,        0 
     30.00,     263.16,     263.16,      68.40,     0.0000,        0 
     30.20,     263.16,     263.16,      68.40,     0.0000,        0 
     30.40,     263.16,     263.16,      68.40,     0.0000,        0 
     30.60,     263.16,     263.16,      68.40,     0.0000,        0 
     30.80,     263.16,     263.16,      68.40,     0.0000,        0 
     31.00,     263.16,     263.16,      68.40,     0.0000,        0 
     31.20,     263.16,     263.16,      68.40,     0.0000,        0 
     31.40,     263.16,     263.16,      68.40,     0.0000,        0 
     31.60,     263.16,     263.16,      68.40,     0.0000,        0 
     31.80,     263.16,     263.16,      68.40,     0.0000,        0 
     32.00,     263.16,     263.16,      68.40,     0.0000,        0 
     32.20,     263.16,     263.16,      68.40,     0.0000,        0 
     32.40,     263.16,     263.16,      68.40,     0.0000,        0 
     32.60,     263.16,     263.16,      68.40,     0.0000,        0 
     32.80,     263.16,     263.16,      68.40,     0.0000,        0 
     33.00,     263.16,     263.16,      68.40,     0.0000,        0 
     33.20,     263.16,     263.16,      68.40,     0.0000,        0 
     33.40,     263.16,     263.16,      68.40,     0.0000,        0 
     33.60,     263.16,     263.16,      68.40,     0.0000,        0 
     33.80,     263.16,     263.16,      68.40,     0.0000,        0 
     34.00,     263.16,     263.16,      68.40,     0.0000,        0 
     34.20,     263.16,     263.16,      68.40,     0.0000,        0 
     34.40,     263.16,     263.16,      68.40,     0.0000,        0 
     34.60,     263.16,     263.16,      68.40,     0.0000,        0 
     34.80,     263.16,     263.16,      68.40,     0.0000,        0 
     35.00,     263.16,     263.16,      68.40,     0.0000,        0 
     35.20,     263.16,     263.16,      68.40,     0.0000,        0 
     35.40,     263.16,     263.16,      68.40,     0.0000,        0 
     35.60,     263.16,     263.16,      68.40,     0.0000,        0 
     35.80,     263.16,     263.16,      68.40,     0.0000,        0 
     36.00,     263.16,     263.16,      68.40,     0.0000,        0 
     36.20,     263.16,     263.16,      68.40,     0.0000,        0 
     36.40,     263.16,     263.16,      68.40,     0.0000,        0 
     36.60,     263.16,     263.16,      68.40,     0.0000,        0 
     36.80,     263.16,     263.16,      68.40,     0.0000,        0 
     37.00,     263.16,     263.16,      68.40,     0.0000,        0 
     37.20,     263.16,     263.16,      68.40,     0.0000,        0 
     37.40,     263.16,     263.16,      68.40,     0.0000,        0 
     37.60,     263.16,     263.16,      68.40,     0.0000,        0 
     37.80,     263.16,     263.16,      68.40,     0.0000,        0 
     38.00,     263.16,     263.16,      68.40,     0.0000,        0 
     38.20,     263.16,     263.16,      68.40,     0.0000,        0 
     38.40,     263.16,     263.16,      68.40,     0.0000,        0 
     38.60,     263.16,     263.16,      68.40,     0.0000,        0 
     38.80,     263.16,     263.16,      68.40,     0.0000,        0 
     39.00,     263.16,     263.16,      68.40,     0.0000,        0 
     39.20,     263.16,     263.16,      68.40,     0.0000,        0 
     39.40,     263.16,     263.16,      68.40,     0.0000,        0 
     39.60,     263.16,     263.16,      68.40,     0.0000,        0 
     39.80,     263.16,     263.16,      68.40,     0.0000,        0 
     40.00,     263.16,     263.16,      68.40,     0.0000,        0 
     40.20,     263.16,     263.16,      68.40,     0.0000,        0 
     40.40,     263.16,     263.16,      68.40,     0.0000,        0 
     40.60,     263.16,     263.16,      68.40,     0.0000,        0 
     40.80,     263.16,     263.16,      68.40,     0.0000,        0 
     41.00,     263.16,     263.16,      68.40,     0.0000,        0 
     41.20,     263.16,     263.16,      68.40,     0.0000,        0 
     41.40,     263.16,     263.16,      68.40,     0.0000,        0 
     41.60,     263.16,     263.16,      68.40,     0.0000,        0 
     41.80,     263.16,     263.16,      68.40,     0.0000,        0 
     42.00,     263.16,     263.16,      68.40,     0.0000,        0 
     42.20,     263.16,     263.16,      68.40,     0.0000,        0 
     42.40,     263.16,     263.16,      68.40,     0.0000,        0 
     42.60,     263.16,     263.16,      68.40,     0.0000,        0 
     42.80,     263.16,     263.16,      68.40,     0.0000,        0 
     43.00,     263.16,     263.16,      68.40,     0.0000,        0 
     43.20,     263.16,     263.16,      68.40,     0.0000,        0 
     43.40,     263.16,     263.16,      68.40,     0.0000,        0 
     43.60,     263.16,     263.16,      68.40,     0.0000,        0 
     43.80,     263.16,     263.16,      68.40,     0.0000,        0 
     44.00,     263.16,     263.16,      68.40,     0.0000,        0 
     44.20,     263.16,     263.16,      68.40,     0.0000,        0 
     44.40,     263.16,     263.16,      68.40,     0.0000,        0 
     44.60,     263.16,     263.16,      68.40,     0.0000,        0 
     44.80,     263.16,     263.16,      68.40,     0.0000,        0 
     45.00,     263.16,     263.16,      68.40,     0.0000,        0 
     45.20,     263.16,     263.16,      68.40,     0.0000,        0 
     45.40,     263.16,     263.16,      68.40,     0.0000,        0 
     45.60,     263.16,     263.16,      68.40,     0.0000,        0 
     45.80,     263.16,     263.16,      68.40,     0.0000,        0 
     46.00,     263.16,     263.16,      68.40,     0.0000,        0 
     46.20,     263.16,     263.16,      68.40,     0.0000,        0 
     46.40,     263.16,     263.16,      68.40,     0.0000,        0 
     46.60,     263.16,     263.16,      68.40,     0.0000,        0 
     46.80,     263.16,     263.16,      68.40,     0.0000,        0 
