#v(km/h),   acc(m/s^2),  forceMech(N), powMech(kW), fuelFlow(l/h), consump(liters/100km), Gear
0.00, -1.00, -0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, -0.93, -0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, -0.86, -0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, -0.80, -0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, -0.73, -0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, -0.66, -0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, -0.60, -0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, -0.53, -0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, -0.46, -0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, -0.40, -0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, -0.33, -0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, -0.26, -0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, -0.19, -0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, -0.13, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, -0.06, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 0.00, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 0.06, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 0.13, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 0.19, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 0.26, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 0.33, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 0.39, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 0.46, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 0.53, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 0.60, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 0.66, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 0.73, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 0.80, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 0.86, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 0.93, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 1.00, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 1.06, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 1.13, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 1.20, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 1.26, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 1.33, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 1.40, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 1.46, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 1.53, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 1.60, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 1.66, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 1.73, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 1.79, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 1.86, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 1.93, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 2.00, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 2.06, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 2.13, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 2.20, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 2.26, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 2.33, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 2.40, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 2.46, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 2.53, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 2.60, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 2.66, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 2.73, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 2.80, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 2.86, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 2.93, 0.00, 1.500000, 0.80000, 22222.22222, 1
0.00, 3.00, 0.00, 1.500000, 0.80000, 22222.22222, 1

2.00, -1.00, -473.73, 1.236817, 0.56502, 28.25119, 1
2.00, -0.93, -434.84, 1.258422, 0.59372, 29.68587, 1
2.00, -0.86, -395.95, 1.280026, 0.62030, 31.01504, 1
2.00, -0.80, -362.62, 1.298545, 0.64152, 32.07580, 1
2.00, -0.73, -323.73, 1.320150, 0.66455, 33.22773, 1
2.00, -0.66, -284.84, 1.341755, 0.68587, 34.29358, 1
2.00, -0.60, -251.51, 1.360273, 0.70286, 35.14324, 1
2.00, -0.53, -212.62, 1.381878, 0.72130, 36.06501, 1
2.00, -0.46, -173.73, 1.403483, 0.73834, 36.91707, 1
2.00, -0.40, -140.40, 1.422002, 0.75192, 37.59581, 1
2.00, -0.33, -101.51, 1.443607, 0.76663, 38.33174, 1
2.00, -0.26, -62.62, 1.465212, 0.78024, 39.01176, 1
2.00, -0.19, -23.73, 1.486817, 0.79280, 39.64017, 1
2.00, -0.13, 9.60, 1.505335, 0.80282, 40.14078, 1
2.00, -0.06, 48.49, 1.526940, 0.81368, 40.68384, 1
2.00, 0.00, 81.83, 1.545459, 0.82234, 41.11677, 1
2.00, 0.06, 115.16, 1.563977, 0.83044, 41.52191, 1
2.00, 0.13, 154.05, 1.585582, 0.83924, 41.96215, 1
2.00, 0.19, 187.38, 1.604101, 0.84628, 42.31387, 1
2.00, 0.26, 226.27, 1.625705, 0.85394, 42.69683, 1
2.00, 0.33, 265.16, 1.647310, 0.86106, 43.05287, 1
2.00, 0.39, 298.49, 1.665829, 0.86677, 43.33851, 1
2.00, 0.46, 337.38, 1.687434, 0.87302, 43.65108, 1
2.00, 0.53, 376.27, 1.709039, 0.87887, 43.94348, 1
2.00, 0.60, 415.16, 1.730644, 0.88436, 44.21779, 1
2.00, 0.66, 448.49, 1.749162, 0.88880, 44.44000, 1
2.00, 0.73, 487.38, 1.770767, 0.89372, 44.68578, 1
2.00, 0.80, 526.27, 1.792372, 0.89837, 44.91869, 1
2.00, 0.86, 559.60, 1.810891, 0.90219, 45.10929, 1
2.00, 0.93, 598.49, 1.832496, 0.90645, 45.32245, 1
2.00, 1.00, 637.38, 1.854101, 0.91054, 45.52701, 1
2.00, 1.06, 670.71, 1.872619, 0.91393, 45.69650, 1
2.00, 1.13, 709.60, 1.894224, 0.91777, 45.88848, 1
2.00, 1.20, 748.49, 1.915829, 0.92151, 46.07535, 1
2.00, 1.26, 781.83, 1.934347, 0.92464, 46.23225, 1
2.00, 1.33, 820.71, 1.955952, 0.92825, 46.41235, 1
2.00, 1.40, 859.60, 1.977557, 0.93180, 46.59014, 1
2.00, 1.46, 892.94, 1.996076, 0.93483, 46.74134, 1
2.00, 1.53, 931.83, 2.017681, 0.93834, 46.91704, 1
2.00, 1.60, 970.71, 2.039286, 0.94185, 47.09267, 1
2.00, 1.66, 1004.05, 2.057804, 0.94487, 47.24366, 1
2.00, 1.73, 1042.94, 2.079409, 0.94842, 47.42091, 1
2.00, 1.79, 1076.27, 2.097928, 0.95148, 47.57416, 1
2.00, 1.86, 1115.16, 2.119533, 0.95510, 47.75499, 1
2.00, 1.93, 1154.05, 2.141138, 0.95877, 47.93845, 1
2.00, 2.00, 1192.94, 2.162742, 0.96250, 48.12498, 1
2.00, 2.06, 1226.27, 2.181261, 0.96575, 48.28763, 1
2.00, 2.13, 1265.16, 2.202866, 0.96962, 48.48091, 1
2.00, 2.20, 1304.05, 2.224471, 0.97357, 48.67832, 1
2.00, 2.26, 1337.38, 2.242989, 0.97702, 48.85103, 1
2.00, 2.33, 1376.27, 2.264594, 0.98114, 49.05686, 1
2.00, 2.40, 1415.16, 2.286199, 0.98535, 49.26758, 1
2.00, 2.46, 1448.49, 2.304718, 0.98905, 49.45226, 1
2.00, 2.53, 1487.38, 2.326323, 0.99345, 49.67262, 1
2.00, 2.60, 1526.27, 2.347928, 0.99797, 49.89842, 1
2.00, 2.66, 1559.60, 2.366446, 1.00193, 50.09641, 1
2.00, 2.73, 1598.49, 2.388051, 1.00665, 50.33269, 1
2.00, 2.80, 1637.38, 2.409656, 1.01150, 50.57477, 1
2.00, 2.86, 1670.71, 2.428175, 1.01574, 50.78696, 1
2.00, 2.93, 1709.60, 2.449780, 1.02080, 51.04005, 1
2.00, 3.00, 1748.49, 2.471384, 1.02598, 51.29916, 1

4.00, -1.00, -947.01, 0.447769, 0.90144, 22.53605, 1
4.00, -0.93, -869.23, 0.534189, 0.90986, 22.74639, 1
4.00, -0.86, -791.45, 0.620608, 0.91767, 22.94167, 1
4.00, -0.80, -724.79, 0.694682, 0.92403, 23.10067, 1
4.00, -0.73, -647.01, 0.781102, 0.93120, 23.28002, 1
4.00, -0.66, -569.23, 0.867522, 0.93825, 23.45614, 1
4.00, -0.60, -502.56, 0.941596, 0.94427, 23.60683, 1
4.00, -0.53, -424.79, 1.028016, 0.95139, 23.78464, 1
4.00, -0.46, -347.01, 1.114436, 0.95867, 23.96671, 1
4.00, -0.40, -280.34, 1.188510, 0.96510, 24.12758, 1
4.00, -0.33, -202.56, 1.274929, 0.97289, 24.32223, 1
4.00, -0.26, -124.79, 1.361349, 0.98102, 24.52560, 1
4.00, -0.19, -47.01, 1.447769, 0.98955, 24.73874, 1
4.00, -0.13, 19.66, 1.521843, 0.99719, 24.92982, 1
4.00, -0.06, 97.44, 1.608263, 1.00652, 25.16310, 1
4.00, 0.00, 164.10, 1.682337, 1.01489, 25.37227, 1
4.00, 0.06, 230.77, 1.756411, 1.02361, 25.59016, 1
4.00, 0.13, 308.55, 1.842831, 1.03422, 25.85561, 1
4.00, 0.19, 375.21, 1.916905, 1.04371, 26.09284, 1
4.00, 0.26, 452.99, 2.003324, 1.05524, 26.38098, 1
4.00, 0.33, 530.77, 2.089744, 1.06725, 26.68130, 1
4.00, 0.39, 597.44, 2.163818, 1.07793, 26.94834, 1
4.00, 0.46, 675.21, 2.250238, 1.09084, 27.27095, 1
4.00, 0.53, 752.99, 2.336658, 1.10421, 27.60528, 1
4.00, 0.60, 830.77, 2.423077, 1.11804, 27.95106, 1
4.00, 0.66, 897.44, 2.497152, 1.13025, 28.25634, 1
4.00, 0.73, 975.21, 2.583571, 1.14490, 28.62261, 1
4.00, 0.80, 1052.99, 2.669991, 1.15998, 28.99943, 1
4.00, 0.86, 1119.66, 2.744065, 1.17322, 29.33055, 1
4.00, 0.93, 1197.44, 2.830485, 1.18904, 29.72604, 1
4.00, 1.00, 1275.21, 2.916905, 1.20524, 30.13105, 1
4.00, 1.06, 1341.88, 2.990979, 1.21942, 30.48550, 1
4.00, 1.13, 1419.66, 3.077398, 1.23629, 30.90721, 1
4.00, 1.20, 1497.44, 3.163818, 1.25350, 31.33738, 1
4.00, 1.26, 1564.10, 3.237892, 1.26850, 31.71256, 1
4.00, 1.33, 1641.88, 3.324312, 1.28630, 32.15746, 1
4.00, 1.40, 1719.66, 3.410732, 1.30439, 32.60978, 1
4.00, 1.46, 1786.33, 3.484806, 1.32013, 33.00313, 1
4.00, 1.53, 1864.10, 3.571226, 1.33873, 33.46830, 1
4.00, 1.60, 1941.88, 3.657645, 1.35760, 33.93991, 1
4.00, 1.66, 2008.55, 3.731719, 1.37396, 34.34903, 1
4.00, 1.73, 2086.33, 3.818139, 1.39327, 34.83174, 1
4.00, 1.79, 2152.99, 3.892213, 1.41000, 35.24992, 1
4.00, 1.86, 2230.77, 3.978633, 1.42971, 35.74270, 1
4.00, 1.93, 2308.55, 4.065053, 1.44962, 36.24048, 1
4.00, 2.00, 2386.33, 4.151473, 1.46972, 36.74299, 1
4.00, 2.06, 2452.99, 4.225547, 1.48709, 37.17729, 1
4.00, 2.13, 2530.77, 4.311966, 1.50752, 37.68793, 1
4.00, 2.20, 2608.55, 4.398386, 1.52810, 38.20258, 1
4.00, 2.26, 2675.21, 4.472460, 1.54587, 38.64674, 1
4.00, 2.33, 2752.99, 4.558880, 1.56673, 39.16827, 1
4.00, 2.40, 2830.77, 4.645300, 1.58773, 39.69320, 1
4.00, 2.46, 2897.44, 4.719374, 1.60583, 40.14569, 1
4.00, 2.53, 2975.21, 4.805794, 1.62706, 40.67642, 1
4.00, 2.60, 3052.99, 4.892213, 1.64840, 41.21001, 1
4.00, 2.66, 3119.66, 4.966287, 1.66678, 41.66951, 1
4.00, 2.73, 3197.44, 5.052707, 1.68832, 42.20797, 1
4.00, 2.80, 3275.21, 5.139127, 1.70995, 42.74882, 1
4.00, 2.86, 3341.88, 5.213201, 1.72857, 43.21420, 1
4.00, 2.93, 3419.66, 5.299621, 1.75036, 43.75912, 1
4.00, 3.00, 3497.44, 5.386040, 1.77224, 44.30605, 1

6.00, -1.00, -1419.38, 0.000000, 1.00867, 16.81123, 1
6.00, -0.93, -1302.71, 0.000000, 1.03515, 17.25245, 1
6.00, -0.86, -1186.05, 0.000000, 1.05720, 17.61998, 1
6.00, -0.80, -1086.05, 0.000000, 1.07329, 17.88819, 1
6.00, -0.73, -969.38, 0.000000, 1.08950, 18.15831, 1
6.00, -0.66, -852.71, 0.078809, 1.10359, 18.39319, 1
6.00, -0.60, -752.71, 0.245476, 1.11443, 18.57386, 1
6.00, -0.53, -636.05, 0.439920, 1.12607, 18.76784, 1
6.00, -0.46, -519.38, 0.634364, 1.13702, 18.95033, 1
6.00, -0.40, -419.38, 0.801031, 1.14612, 19.10202, 1
6.00, -0.33, -302.71, 0.995476, 1.15667, 19.27779, 1
6.00, -0.26, -186.05, 1.189920, 1.16736, 19.45606, 1
6.00, -0.19, -69.38, 1.384364, 1.17841, 19.64010, 1
6.00, -0.13, 30.62, 1.551031, 1.18827, 19.80443, 1
6.00, -0.06, 147.29, 1.745476, 1.20034, 20.00567, 1
6.00, 0.00, 247.29, 1.912142, 1.21125, 20.18751, 1
6.00, 0.06, 347.29, 2.078809, 1.22273, 20.37881, 1
6.00, 0.13, 463.95, 2.273253, 1.23688, 20.61475, 1
6.00, 0.19, 563.95, 2.439920, 1.24970, 20.82838, 1
6.00, 0.26, 680.62, 2.634364, 1.26548, 21.09129, 1
6.00, 0.33, 797.29, 2.828809, 1.28215, 21.36914, 1
6.00, 0.39, 897.29, 2.995476, 1.29715, 21.61922, 1
6.00, 0.46, 1013.95, 3.189920, 1.31549, 21.92479, 1
6.00, 0.53, 1130.62, 3.384364, 1.33470, 22.24504, 1
6.00, 0.60, 1247.29, 3.578809, 1.35478, 22.57966, 1
6.00, 0.66, 1347.29, 3.745476, 1.37266, 22.87762, 1
6.00, 0.73, 1463.95, 3.939920, 1.39427, 23.23785, 1
6.00, 0.80, 1580.62, 4.134364, 1.41667, 23.61119, 1
6.00, 0.86, 1680.62, 4.301031, 1.43647, 23.94125, 1
6.00, 0.93, 1797.29, 4.495476, 1.46025, 24.33755, 1
6.00, 1.00, 1913.95, 4.689920, 1.48473, 24.74542, 1
6.00, 1.06, 2013.95, 4.856587, 1.50623, 25.10382, 1
6.00, 1.13, 2130.62, 5.051031, 1.53190, 25.53171, 1
6.00, 1.20, 2247.29, 5.245476, 1.55817, 25.96958, 1
6.00, 1.26, 2347.29, 5.412142, 1.58115, 26.35242, 1
6.00, 1.33, 2463.95, 5.606587, 1.60844, 26.80738, 1
6.00, 1.40, 2580.62, 5.801031, 1.63625, 27.27079, 1
6.00, 1.46, 2680.62, 5.967698, 1.66046, 27.67434, 1
6.00, 1.53, 2797.29, 6.162142, 1.68913, 28.15213, 1
6.00, 1.60, 2913.95, 6.356587, 1.71822, 28.63697, 1
6.00, 1.66, 3013.95, 6.523253, 1.74347, 29.05782, 1
6.00, 1.73, 3130.62, 6.717698, 1.77328, 29.55459, 1
6.00, 1.79, 3230.62, 6.884364, 1.79910, 29.98505, 1
6.00, 1.86, 3347.29, 7.078809, 1.82954, 30.49234, 1
6.00, 1.93, 3463.95, 7.273253, 1.86029, 31.00476, 1
6.00, 2.00, 3580.62, 7.467698, 1.89132, 31.52194, 1
6.00, 2.06, 3680.62, 7.634364, 1.91813, 31.96879, 1
6.00, 2.13, 3797.29, 7.828809, 1.94964, 32.49397, 1
6.00, 2.20, 3913.95, 8.023253, 1.98138, 33.02304, 1
6.00, 2.26, 4013.95, 8.189920, 2.00876, 33.47939, 1
6.00, 2.33, 4130.62, 8.384364, 2.04090, 34.01493, 1
6.00, 2.40, 4247.29, 8.578809, 2.07322, 34.55360, 1
6.00, 2.46, 4347.29, 8.745476, 2.10106, 35.01763, 1
6.00, 2.53, 4463.95, 8.939920, 2.13369, 35.56151, 1
6.00, 2.60, 4580.62, 9.134364, 2.16647, 36.10791, 1
6.00, 2.66, 4680.62, 9.301031, 2.19469, 36.57810, 1
6.00, 2.73, 4797.29, 9.495476, 2.22772, 37.12867, 1
6.00, 2.80, 4913.95, 9.689920, 2.26087, 37.68125, 1
6.00, 2.86, 5013.95, 9.856587, 2.28938, 38.15636, 1
6.00, 2.93, 5130.62, 10.051031, 2.32274, 38.71227, 1
6.00, 3.00, 5247.29, 10.245476, 2.35619, 39.26977, 1

8.00, -1.00, -1890.40, 0.000000, 1.20636, 15.07946, 1
8.00, -0.93, -1734.84, 0.000000, 1.26583, 15.82285, 1
8.00, -0.86, -1579.29, 0.000000, 1.31485, 16.43556, 1
8.00, -0.80, -1445.95, 0.000000, 1.34999, 16.87482, 1
8.00, -0.73, -1290.40, 0.000000, 1.38442, 17.30525, 1
8.00, -0.66, -1134.84, 0.000000, 1.41314, 17.66420, 1
8.00, -0.60, -1001.51, 0.000000, 1.43412, 17.92656, 1
8.00, -0.53, -845.95, 0.000000, 1.45531, 18.19137, 1
8.00, -0.46, -690.40, 0.000000, 1.47379, 18.42233, 1
8.00, -0.40, -557.06, 0.262079, 1.48805, 18.60058, 1
8.00, -0.33, -401.51, 0.607758, 1.50341, 18.79265, 1
8.00, -0.26, -245.95, 0.953437, 1.51793, 18.97407, 1
8.00, -0.19, -90.40, 1.299116, 1.53204, 19.15049, 1
8.00, -0.13, 42.94, 1.595412, 1.54410, 19.30129, 1
8.00, -0.06, 198.49, 1.941091, 1.55841, 19.48015, 1
8.00, 0.00, 331.82, 2.237388, 1.57106, 19.63826, 1
8.00, 0.06, 465.16, 2.533684, 1.58420, 19.80251, 1
8.00, 0.13, 620.71, 2.879363, 1.60029, 20.00365, 1
8.00, 0.19, 754.05, 3.175659, 1.61483, 20.18538, 1
8.00, 0.26, 909.60, 3.521338, 1.63275, 20.40940, 1
8.00, 0.33, 1065.16, 3.867017, 1.65178, 20.64721, 1
8.00, 0.39, 1198.49, 4.163314, 1.66900, 20.86251, 1
8.00, 0.46, 1354.05, 4.508993, 1.69019, 21.12740, 1
