#     t[s], lane,  xEnter[m],    v[km/h],   qBC[1/h],    count,      queue
      2.80,    1,       0.00,      86.38,    1201.87,        1,    0.00078
      5.80,    2,       0.00,      86.35,    1203.87,        2,    0.00322
      8.80,    1,     102.15,      72.00,    1205.87,        3,    0.00733
     11.80,    2,      99.29,      72.00,    1207.87,        4,    0.01311
     14.80,    1,     127.20,      72.00,    1209.87,        5,    0.02056
     17.80,    2,     146.58,      72.00,    1211.87,        6,    0.02967
     20.80,    1,     147.83,      72.00,    1213.87,        7,    0.04044
     23.80,    2,     149.31,      72.00,    1215.87,        8,    0.05289
     26.80,    1,     151.02,      72.00,    1217.87,        9,    0.06700
     29.60,    2,     143.40,      72.00,    1219.73,       10,    0.01501
     32.60,    1,     143.91,      54.00,    1221.73,       11,    0.03234
     35.60,    2,     135.08,      72.00,    1223.73,       12,    0.05134
     38.40,    1,     141.04,      54.00,    1225.60,       13,    0.00391
     41.40,    2,     130.48,      72.00,    1227.60,       14,    0.02613
     44.40,    1,     146.96,      72.00,    1229.60,       15,    0.05002
     47.20,    2,     122.88,      72.00,    1231.47,       16,    0.00716
     50.20,    1,     144.22,      72.00,    1233.47,       17,    0.03427
     53.20,    2,     147.95,      54.00,    1235.47,       18,    0.06304
     56.00,    1,     138.04,      72.00,    1237.33,       19,    0.02474
     59.00,    2,     146.54,      54.00,    1239.33,       20,    0.05674
     61.80,    1,     141.39,      72.00,    1241.20,       21,    0.02144
     64.80,    2,     133.60,      72.00,    1243.20,       22,    0.05667
     67.60,    1,     141.28,      72.00,    1245.07,       23,    0.02438
     70.60,    2,     146.31,      72.00,    1247.07,       24,    0.06282
     73.40,    1,     142.03,      72.00,    1248.93,       25,    0.03354
     76.20,    2,     137.96,      72.00,    1250.80,       26,    0.00571
     79.20,    1,     143.62,      72.00,    1252.80,       27,    0.04893
     82.00,    2,     139.98,      72.00,    1254.67,       28,    0.02411
     84.80,    1,     130.09,      72.00,    1256.53,       29,    0.00074
     87.80,    2,     142.82,      54.00,    1258.53,       30,    0.04874
     90.60,    1,     139.81,      72.00,    1260.40,       31,    0.02838
     93.40,    2,     137.00,      54.00,    1262.27,       32,    0.00947
     96.40,    1,     143.89,      54.00,    1264.27,       33,    0.06224
     99.20,    2,     132.93,      72.00,    1266.13,       34,    0.04634
    102.00,    1,     139.30,      72.00,    1268.00,       35,    0.03189
    104.80,    2,     137.30,      72.00,    1269.87,       36,    0.01889
    107.60,    1,     135.51,      72.00,    1271.73,       37,    0.00734
    110.60,    2,     143.41,      72.00,    1273.73,       38,    0.06801
    113.40,    1,     142.01,      72.00,    1275.60,       39,    0.05947
    116.20,    2,     140.82,      72.00,    1277.47,       40,    0.05238
    119.00,    1,     139.83,      72.00,    1279.33,       41,    0.04674
    121.80,    2,     139.03,      72.00,    1281.20,       42,    0.04256
    124.60,    1,     138.42,      72.00,    1283.07,       43,    0.03982
    127.40,    2,     138.02,      72.00,    1284.93,       44,    0.03854
    130.20,    1,     137.80,      72.00,    1286.80,       45,    0.03871
    133.00,    2,     137.78,      72.00,    1288.67,       46,    0.04033
    135.80,    1,     137.95,      72.00,    1290.53,       47,    0.04341
    138.60,    2,     138.32,      72.00,    1292.40,       48,    0.04793
    141.40,    1,     138.87,      72.00,    1294.27,       49,    0.05391
    144.20,    2,     139.61,      72.00,    1296.13,       50,    0.06134
    147.00,    1,     140.54,      72.00,    1298.00,       51,    0.07022
    149.60,    2,     132.20,      72.00,    1299.73,       52,    0.00834
    152.40,    1,     133.51,      54.00,    1301.60,       53,    0.02002
    155.20,    2,     131.83,      72.00,    1303.47,       54,    0.03316
    158.00,    1,     136.67,      72.00,    1305.33,       55,    0.04774
    160.80,    2,     138.53,      72.00,    1307.20,       56,    0.06378
    163.40,    1,     131.13,      72.00,    1308.93,       57,    0.00854
    166.20,    2,     133.35,      54.00,    1310.80,       58,    0.02738
    169.00,    1,     135.76,      72.00,    1312.67,       59,    0.04767
    171.80,    2,     113.55,      54.00,    1314.53,       60,    0.06941
    174.40,    1,     131.67,      72.00,    1316.27,       61,    0.01947
    177.20,    2,     129.65,      72.00,    1318.13,       62,    0.04401
    180.00,    1,     137.74,      72.00,    1320.00,       63,    0.07000
    182.60,    2,     127.38,      72.00,    1321.73,       64,    0.02401
    185.40,    1,     135.09,      72.00,    1323.60,       65,    0.05280
    188.00,    2,     129.32,      72.00,    1325.33,       66,    0.00941
    190.80,    1,     128.54,      72.00,    1327.20,       67,    0.04100
    193.40,    2,     127.73,      72.00,    1328.93,       68,    0.00021
    196.20,    1,     131.90,      72.00,    1330.80,       69,    0.03460
    199.00,    2,     136.24,      72.00,    1332.67,       70,    0.07044
    201.60,    1,     131.35,      54.00,    1334.40,       71,    0.03360
    204.40,    2,     124.97,      72.00,    1336.27,       72,    0.07224
    207.00,    1,     131.49,      54.00,    1338.00,       73,    0.03800
    209.60,    2,     124.79,      72.00,    1339.73,       74,    0.00501
    212.40,    1,     122.05,      72.00,    1341.60,       75,    0.04780
    215.00,    2,     125.03,      72.00,    1343.33,       76,    0.01741
    217.80,    1,     133.80,      72.00,    1345.20,       77,    0.06300
    220.40,    2,     130.10,      72.00,    1346.93,       78,    0.03521
    223.00,    1,     126.57,      72.00,    1348.67,       79,    0.00867
    225.80,    2,     132.59,      72.00,    1350.53,       80,    0.05841
    228.40,    1,     129.39,      72.00,    1352.27,       81,    0.03447
    231.00,    2,     126.36,      54.00,    1354.00,       82,    0.01178
    233.80,    1,     132.87,      72.00,    1355.87,       83,    0.06567
    236.40,    2,     120.19,      72.00,    1357.60,       84,    0.04558
    239.00,    1,     127.63,      72.00,    1359.33,       85,    0.02674
    241.60,    2,     125.26,      54.00,    1361.07,       86,    0.00916
    244.40,    1,     132.41,      72.00,    1362.93,       87,    0.06854
    247.00,    2,     117.75,      54.00,    1364.67,       88,    0.05356
    249.60,    1,     128.46,      72.00,    1366.40,       89,    0.03982
    252.20,    2,     126.73,      72.00,    1368.13,       90,    0.02734
    254.80,    1,     125.15,      72.00,    1369.87,       91,    0.01611
    257.40,    2,     123.74,      72.00,    1371.60,       92,    0.00613
    260.20,    1,     131.83,      72.00,    1373.47,       93,    0.07371
    262.80,    2,     130.73,      72.00,    1375.20,       94,    0.06633
    265.40,    1,     129.78,      72.00,    1376.93,       95,    0.06021
    268.00,    2,     128.99,      72.00,    1378.67,       96,    0.05533
    270.60,    1,     128.36,      72.00,    1380.40,       97,    0.05171
    273.20,    2,     127.87,      72.00,    1382.13,       98,    0.04934
    275.80,    1,     127.55,      72.00,    1383.87,       99,    0.04822
    278.40,    2,     127.37,      72.00,    1385.60,      100,    0.04836
    281.00,    1,     127.35,      72.00,    1387.33,      101,    0.04974
    283.60,    2,     127.48,      72.00,    1389.07,      102,    0.05238
    286.20,    1,     127.76,      72.00,    1390.80,      103,    0.05627
    288.80,    2,     128.19,      72.00,    1392.53,      104,    0.06141
    291.40,    1,     128.77,      72.00,    1394.27,      105,    0.06780
    294.00,    2,     129.50,      72.00,    1396.00,      106,    0.07544
    296.40,    1,     121.05,      72.00,    1397.60,      107,    0.00669
    299.00,    2,     122.08,      72.00,    1399.33,      108,    0.01674
    301.60,    1,     123.25,      54.00,    1401.07,      109,    0.02804
    304.20,    2,     117.67,      72.00,    1402.80,      110,    0.04060
    306.80,    1,     126.04,      72.00,    1404.53,      111,    0.05441
    309.40,    2,     127.65,      72.00,    1406.27,      112,    0.06947
    311.80,    1,     120.10,      72.00,    1407.87,      113,    0.00756
    314.40,    2,     122.00,      72.00,    1409.60,      114,    0.02502
    317.00,    1,     124.04,      72.00,    1411.33,      115,    0.04374
    319.60,    2,     126.23,      72.00,    1413.07,      116,    0.06371
    322.00,    1,     119.26,      72.00,    1414.67,      117,    0.00633
    324.60,    2,     121.73,      72.00,    1416.40,      118,    0.02871
    327.20,    1,     124.34,      72.00,    1418.13,      119,    0.05234
    329.80,    2,     127.10,      72.00,    1419.87,      120,    0.07722
    332.20,    1,     120.70,      72.00,    1421.47,      121,    0.02438
    334.80,    2,     123.73,      72.00,    1423.20,      122,    0.05167
    337.20,    1,     117.62,      72.00,    1424.80,      123,    0.00104
    339.80,    2,     120.93,      72.00,    1426.53,      124,    0.03074
    342.40,    1,     124.38,      54.00,    1428.27,      125,    0.06169
    344.80,    2,     116.16,      72.00,    1429.87,      126,    0.01444
    347.40,    1,     122.41,      72.00,    1431.60,      127,    0.04780
    349.80,    2,     116.99,      72.00,    1433.20,      128,    0.00278
    352.40,    1,     120.98,      72.00,    1434.93,      129,    0.03854
    355.00,    2,     125.11,      72.00,    1436.67,      130,    0.07556
    357.40,    1,     120.11,      72.00,    1438.27,      131,    0.03391
    360.00,    2,     124.51,      72.00,    1440.00,      132,    0.07333
    362.40,    1,     119.77,      72.00,    1441.60,      133,    0.03391
    365.00,    2,     124.44,      72.00,    1443.33,      134,    0.07574
    367.40,    1,     119.97,      54.00,    1444.93,      135,    0.03854
    369.80,    2,     103.60,      72.00,    1446.53,      136,    0.00241
    372.40,    1,     120.71,      72.00,    1448.27,      137,    0.04780
    374.80,    2,      93.61,      66.93,    1449.87,      138,    0.01389
    377.40,    1,     115.38,      72.00,    1451.60,      139,    0.06169
    379.80,    2,     118.17,      54.00,    1453.20,      140,    0.03000
    382.40,    1,     123.75,      72.00,    1454.93,      141,    0.08021
    384.80,    2,     113.12,      72.00,    1456.53,      142,    0.05074
    387.20,    1,     116.81,      72.00,    1458.13,      143,    0.02234
    389.80,    2,     113.88,      72.00,    1459.87,      144,    0.07611
    392.20,    1,     119.63,      72.00,    1461.47,      145,    0.04993
    394.60,    2,     116.62,      72.00,    1463.07,      146,    0.02482
    397.00,    1,     113.73,      72.00,    1464.67,      147,    0.00078
    399.60,    2,     120.21,      54.00,    1466.40,      148,    0.05927
    402.00,    1,     117.57,      72.00,    1468.00,      149,    0.03744
    404.40,    2,     115.07,      72.00,    1469.60,      150,    0.01669
    407.00,    1,     121.92,      72.00,    1471.33,      151,    0.07874
    409.40,    2,     119.67,      72.00,    1472.93,      152,    0.06021
    411.80,    1,     117.54,      72.00,    1474.53,      153,    0.04274
    414.20,    2,     115.54,      72.00,    1476.13,      154,    0.02634
    416.60,    1,     113.66,      72.00,    1477.73,      155,    0.01101
    419.20,    2,     121.13,      72.00,    1479.47,      156,    0.07893
    421.60,    1,     119.50,      72.00,    1481.07,      157,    0.06582
    424.00,    2,     117.99,      54.00,    1482.67,      158,    0.05378
    426.40,    1,     116.61,      72.00,    1484.27,      159,    0.04280
    428.80,    2,     114.21,      72.00,    1485.87,      160,    0.03289
    431.20,    1,     114.21,      72.00,    1487.47,      161,    0.02404
    433.60,    2,     112.89,      72.00,    1489.07,      162,    0.01627
    436.00,    1,     112.30,      54.00,    1490.67,      163,    0.00956
    438.40,    2,     102.91,      72.00,    1492.27,      164,    0.00391
    441.00,    1,     118.26,      72.00,    1494.00,      165,    0.08233
    443.40,    2,     111.59,      72.00,    1495.60,      166,    0.07891
